4143,3,N
4152,3,N
4161,3,N
4170,3,N
4203,3,N
4212,3,N
4221,3,N
4230,3,N
4360,4,N
4396,4,N
4402,4,N
4408,4,N
4414,4,N
4420,4,N
4911,3,N
4917,3,N
4953,3,N
4962,3,N
4971,3,N
5013,3,N
5022,3,N
5031,3,N
5041,3,N
5074,3,N
5083,3,N
5093,3,N
5144,3,N
5162,3,N
5176,6,N
5180,6,N
5185,3,N
5227,6,N
5231,6,N
5289,3,N
5298,3,N
5307,3,Y
5350,3,N
5532,6,Y
5734,3,N
5743,3,N
5752,3,N
5755,3,N
5764,4,N
5773,4,N
5782,4,N
5791,4,N
5794,3,N
5803,3,N
5812,3,N
5818,3,N
5825,4,N
5837,4,N
5846,4,N
5891,4,N
5900,3,N
5909,4,N
5915,4,N
6743,3,N
6752,3,N
6761,3,N
6855,3,N
6864,3,N
6873,3,N
6876,3,N
6882,3,N
6891,3,N
6900,3,N
6909,3,N
6915,4,N
6924,4,Y
6975,3,N
6984,3,N
6993,3,N
7002,3,N
7648,7,N
7651,7,N
7668,7,N
7670,7,N
7672,7,N
7675,7,N
7678,7,N
7681,7,N
7685,7,N
7688,7,N
7692,7,N
7697,7,N
7702,7,N
7707,7,N
7712,7,Y
7783,6,N
7786,6,N
7789,6,N
